POTENCIAL VISUAL EVOCADO (PEV),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,SISTEMA NERVOSO,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROVAS DE FUNÇÃO TUBÁRIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,SISTEMA NERVOSO,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RINOMANOMETRIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,SISTEMA NERVOSO,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TESTE DE LATÊNCIAS MÚLTIPLAS DE SONO (TLMS),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,SISTEMA NERVOSO,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
VÍDEO-ELETROENCEFALOGRAFIA CONTÍNUA NÃO INVASIVA (VÍDEO EEG/NT),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,SISTEMA NERVOSO,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
AVALIAÇÃO MUSCULAR POR DINAMOMETRIA COMPUTADORIZADA (ISOCINÉTICA),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,EXAMES ÓSTEO - MÚSCULO - ARTICULARES,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CURVA I/T - MEDIDA DE LATÊNCIA DE NERVO PERIFÉRICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,EXAMES ÓSTEO - MÚSCULO - ARTICULARES,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"SISTEMA TRIDIMENSIONAL DE AVALIAÇÃO DO MOVIMENTO QUE INCLUI VÍDEO ACOPLADO À PLATAFORMA
DA FORÇA E ELETROMIOGRAFIA",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,EXAMES ÓSTEO - MÚSCULO - ARTICULARES,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DETERMINAÇÃO DAS PRESSÕES RESPIRATÓRIAS MÁXIMAS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,FUNÇÃO RESPIRATÓRIA,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DETERMINAÇÃO DOS VOLUMES PULMONARES POR PLETISMOGRAFIA OU POR DILUIÇÃO DE GASES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,FUNÇÃO RESPIRATÓRIA,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
MEDIDA DA DIFUSÃO DO MONÓXIDO DE CARBONO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,FUNÇÃO RESPIRATÓRIA,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
MEDIDA DE PICO DE FLUXO EXPIRATÓRIO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,FUNÇÃO RESPIRATÓRIA,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROVA DE FUNÇÃO PULMONAR COMPLETA (OU ESPIROMETRIA),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,FUNÇÃO RESPIRATÓRIA,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RESISTÊNCIA DAS VIAS AÉREAS POR OSCILOMETRIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,FUNÇÃO RESPIRATÓRIA,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RESISTÊNCIA DAS VIAS AÉREAS POR PLETISMOGRAFIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,FUNÇÃO RESPIRATÓRIA,"ELETROFISIOLÓGICOS / MECÂNICOS E
FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
AVALIAÇÃO ENDOSCÓPICA DA DEGLUTIÇÃO (FEES),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
,RN,,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
PROCEDIMENTO,,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
,(alteração),,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
AMNIOSCOPIA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,,ENDOSCÓPICOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,INTERVENCIONISTA,,TERAPÊUTICOS,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
ARITENOIDECTOMIA MICROCIRÚRGICA ENDOSCÓPICA,,HCO,Seg. Odontológica,Seg. Ambulatorial,,ENDOSCÓPICOS,,,,,,
BIÓPSIAS POR LAPAROSCOPIA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,,ENDOSCÓPICOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,INTERVENCIONISTA,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,
BRONCOSCOPIA COM BIÓPSIA TRANSBRÔNQUICA COM ACOMPANHAMENTO RADIOSCÓPICO,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,,ENDOSCÓPICOS,,,,,,
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
DILATAÇÃO INSTRUMENTAL E INJEÇÃO DE SUBSTÂNCIA MEDICAMENTOSA POR ENDOSCOPIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DILATAÇÃO PARA TRATAMENTO DE ESTENOSE LARINGO-TRAQUEAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DIVERTICULOTOMIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DRENAGEM CAVITÁRIA POR LAPAROSCOPIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ECOENDOSCOPIA (ULTRASSOM ENDOSCÓPICO) COM OU SEM PUNÇÃO POR AGULHA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ENDOSCOPIA COM PAPILOTOMIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ENDOSCOPIA DIGESTIVA ALTA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ENDOSCOPIA DIGESTIVA ALTA COM BIÓPSIA E/OU CITOLOGIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ENTEROSCOPIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ENTEROSCOPIA DO INTESTINO DELGADO COM CÁPSULA ENDOSCÓPICA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,141,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ESCLEROSE DE VARIZES DE ESÔFAGO, ESTÔMAGO OU DUODENO",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ESTENOSTOMIA ENDOSCÓPICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
GASTROSTOMIA ENDOSCÓPICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"HEMOSTASIA MECÂNICA E/OU TÉRMICA DO ESÔFAGO, ESTÔMAGO OU DUODENO",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
HEMOSTASIA TÉRMICA POR ENDOSCOPIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
HEMOSTASIAS DE CÓLON,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
HISTEROSCOPIA DIAGNÓSTICA COM OU SEM BIÓPSIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
INTRODUÇÃO DE PRÓTESE NO ESÔFAGO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
JEJUNOSTOMIA ENDOSCÓPICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
,RN,,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
PROCEDIMENTO,,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
,(alteração),,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,,
LAPAROSCOPIA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,ENDOSCÓPICOS,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,TERAPÊUTICOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,,
LARINGOSCOPIA COM RETIRADA DE CORPO ESTRANHO DE LARINGE/FARINGE (TUBO FLEXÍVEL),HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,ENDOSCÓPICOS,,,,,,,
LARINGOSCOPIA/TRAQUEOSCOPIA COM DILATAÇÃO DE ESTENOSE,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,,ENDOSCÓPICOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,INTERVENCIONISTA,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,
LARINGOSCOPIA/TRAQUEOSCOPIA COM LASER PARA EXÉRESE DE PAPILOMA/TUMOR,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,,ENDOSCÓPICOS,,,,,,
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
TAMPONAMENTO DE VARIZES DO ESÔFAGO E ESTÔMAGO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TESTE DA UREASE PARA HELICOBACTER PYLORI (TESTE DE HEALD),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TRATAMENTO ENDOSCÓPICO DE HEMOPTISE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
URETEROSCOPIA FLEXÍVEL OU RÍGIDO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
URETROTOMIA ENDOSCÓPICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
VÍDEO-ENDOSCOPIA DO ESFÍNCTER VELO-PALATINO COM ÓTICA FLEXÍVEL OU RÍGIDA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
VÍDEO-ENDOSCOPIA NASO-SINUSAL COM ÓTICA FLEXÍVEL OU RÍGIDA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
VÍDEO-FARINGO-LARINGOSCOPIA COM ENDOSCÓPIO FLEXÍVEL OU RÍGIDO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
VÍDEO-LARINGO-ESTROBOSCOPIA COM ENDOSCÓPIO FLEXÍVEL OU RÍGIDO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"ENDOSCOPIA DIAGNÓSTICA OU
INTERVENCIONISTA",ENDOSCÓPICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"3-METIL HISTIDINA, DOSAGEM NO SORO",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
5-NUCLEOTIDASE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ACETILCOLINESTERASE, EM ERITRÓCITOS",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO ASCÓRBICO (VITAMINA C),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO CÍTRICO (CITRATO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO FÓLICO (FOLATO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO LÁCTICO (LACTATO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO ORÓTICO (OROTATO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO OXÁLICO (OXALATO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO PIRÚVICO (PIRUVATO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ÁCIDO SIÁLICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO ÚRICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO VALPRÓICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDOS GRAXOS LIVRES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDOS ORGÂNICOS (PERFIL QUANTITATIVO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ACILCARNITINAS, PERFIL QUALITATIVO E/OU QUANTITATIVO COM ESPECTROMETRIA DE MASSA EM
TANDEM (COM DIRETRIZ DE UTILIZAÇÃO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,2,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ALBUMINA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ALDOLASE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ALFA-1-ANTITRIPSINA, DOSAGEM NO SORO",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ALFA-1-GLICOPROTEÍNA ÁCIDA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ALFA-2-MACROGLOBULINA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ALFA-FETOPROTEÍNA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ALUMÍNIO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
AMILASE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
AMILASE TOTAL E PANCREÁTICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
AMILOIDOSE - TTR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"AMINOÁCIDOS, FRACIONAMENTO E QUANTIFICAÇÃO",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
AMÔNIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
AMP - CÍCLICO NEFROGÊNICO (SANGUE E URINA),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS
MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
